obs	floron	Latijnse naam	
188621	1634	Rubus sp. (verwerkt als R. fruticosus)	
7348	1091	Rubus idaeus	
7368	1093	Rumex acetosa	
7369	1094	Rumex acetosella	
7370	1097	Rumex conglomeratus	
7371	1098	Rumex crispus	
7372	1099	Rumex hydroalpathum	
7374	100	Rumex maritimus	
7375	1101	Rumex obtusifolius	
7376	1102	Rumex palustris	
7379	1103	Rumex sanguineus	
7380	1106	Rumex thyrsiflorus	
17143	1095	Rumex x pratensis	
20463	1109	Sagina apetata + micropetala	
7384	1110	Sagina maritima	
2725	1111	Sagina nodosa	
7385	1112	Sagina procumbens	
7386	1114	Saittaria sagittifolia	
10114	6458	Salic.ornia s.l	
7389	1116	Salix alba	
7390	1117	Salix aurita	
7391	1118	Salix caprea	
18803	1119	Salix cinerea	
7394	1120	Salix dasyclados	
7395	1121	Salix fragilis	
7396	1122	Salix pentandra	
7397	1123	Salix purpurea	
7398	1124	Salix repens	
7399	1125	Salix trandra	
7400	1126	Salix viminalis	
7401	1127	Salsola kali	
9295	1524	Salsola tragus	
2728	1128	Salvia pratensis	
7406	1133	Sambucus nigra	
18594	1884	Sambucus nigra 'Lacinata'	
7407	1134	Sambucus racemosa	
7408	1135	Samolus valerandi	
18333	5449	Sanguisorba minor balearica	
2732	5450	Sanguisorba minor minor	
7409	1137	Sanguisorba officinalis	
2733	1138	Sanicula europaea	
7410	1139	Saponaria officinalis	
2734	1144	Saxifraga granulata	
7414	1146	Saxifraga tridactylites	
6576	296	Scerastium vulgare	
2740	1150	Schoenus nigricans	
7415	1155	Scirpus lacustris	
7423	1160	Scirpus sylvaticus	
7416	1161	Scirpus tabernaemontani	
26440	5511	Scleranthus annuus	
7424	1163	Scleranthus annuus annuus	
7427	1167	Scrophularia auriculata	
7429	1170	Scrophularia nodosa	
7430	2406	Scrophularia umbrosa	
7433	1173	Scutellaria galericulata	
2743	1174	Scutellaria minor	
7435	357	Securigera varia	
7436	1175	Sedum acre	
7437	1176	Sedum album	
2744	1180	Sedum rupestre	
7441	1181	Sedum sexangulare	
7442	1888	Sedum spurium	
20804	5531	Sedum telephinum + spectabilis	
7448	1733	Senecio inaequidens	
18444	1187	Senecio nemorensis	
7447	1186	Senecio sarracenicus	
7452	1190	Senecio sylvaticus	
7453	1734	Senecio vernalis	
7454	1191	Senecio viscosus	
7455	1192	Senecio vulgaris	
7431	1172	Sernaliscrophularia v	
7457	1831	Setaria italica	
7458	1195	Setaria pumila	
7459	1196	Setaria verticillata	
7460	1197	Setaria viridis	
2749	1198	Sherardia arvensis	
7461	1201	Silene armeria	
7463	1202	Silene conica	
7465	807	Silene dioica	
7017	772	Silene flos-cuculi	
8693	805	Silene latifolia alba	
7466	1204	Silene nutans	
2753	1205	Silene otites	
7467	1206	Silene vulgaris	
7470	120	Sinapis arvensis	
7471	1208	Sisymbrium altissimum	
7422	1213	Sisymbrium austriacum chrysanthum	
7474	1210	Sisymbrium loeselii	
7475	1211	Sisymbrium officinale	
7476	1212	Sisymbrium orientale	
7478	1216	Sium latifolium	
7481	1218	Solanum dulcamara	
7482	1833	Solanum lycopersicum	
7483	1219	Solanum nigrum nigrum	
9292	1738	Solanum nigrum schultesii	
7484	1739	Solanum physalifolium	
7485	1220	Solanum triflorum	
7487	1890	Solidago canadensis	
7488	1221	Solidago gigantea	
2755	1222	Solidago virgaurea	
7489	2324	Sonchus arvensis	
7490	1224	Sonchus asper	
7491	1225	Sonchus oleraceus	
7492	1226	Sonchus palustris	
7495	1227	Sorbus aucuparia	
7499	1231	Sparganium emersum	
7500	1229	Sparganium erectum	
7501	1233	Spartina anglica	
7502	1234	Spergula arvensis	
7503	1235	Spergula morisonii	
17144	1236	Spergularia media	
7505	1237	Spergularia rubra	
7504	1238	Spergularia salina	
7512	121	Spirodela polyrhiza	
2762	1243	Stachys arvensis	
7514	1245	Stachys palustris	
7516	1246	Stachys sylvatica	
7519	1248	Stellaria graminea	
7520	1249	Stellaria holostea	
7521	1250	Stellaria media	
7523	1253	Stellaria nemorum	
7524	1252	Stellaria pallida	
7525	1254	Stellaria palustris	
7526	1247	Stellaria uliginosa	
2764	1255	Stratiotes aloides	
7527	1256	Suaeda maritima	
2765	1258	Succisa pratensis	
7529	2107	Symphoricarpos albus	
7531	1259	Symphytum officinale	
2465	386	Synosurus cristatus	
7532	2390	Syringa vulgaris	
7535	320	Tanacetum parthenium	
7536	1260	Tanacetum vulgare	
7539	2430	Taraxacum officinale	
7541	1267	Taxus baccata	
7542	1268	Teesdalia nudicaulis	
7543	1184	Tephroseris palustris	
7546	1273	Teucrium scorodonia	
7548	1275	Thalictrum flavum	
2773	1953	Thalictrum minus	
7549	427	Thelypteris palustris	
7551	1281	Thlaspi arvense	
2778	1283	Thymus pulegioides	
9357	1284	Thymus serpyllum	
7555	1285	Tilia cordata	
7556	1286	Tilia platyphyllos	
9275	2277	Tilia vulgaris	
7557	1289	Torilis japonica	
2781	1290	Torilis nodosa	
7558	5190	Tragopogon dubius	
7559	1293	Tragopogon porrifolius	
139443	1954	Tragopogon pratensis	
7688	2418	Tragopogon pratensis	
2784	1153	Trichophorum cespitosum	
7563	1295	Trientalis europaea	
7565	1296	Trifolium arvense	
7567	1298	Trifolium campestre	
7569	1299	Trifolium dubium	
7570	1300	Trifolium fragiferum	
7571	1301	Trifolium hybridum	
2785	1302	Trifolium medium	
7573	1305	Trifolium pratense	
7574	1306	Trifolium repens	
7577	1308	Trifolium striatum	
7578	1310	Triglochin maritima	
7579	1311	Triglochin palustris	
7581	795	Tripleurospermum maritimum	
2789	1312	Trisetum flavescens	
7589	1314	Tulipa sylvestris	
7590	1316	Tussilago farfara	
7591	1317	Typha angustifolia	
7592	1318	Typha latifolia	
2791	1319	Ulex europaeus	
7593	1895	Ulmus glabra	
7594	5154	Ulmus laevis	
7595	1320	Ulmus minor	
18340	5191	Ulmus x hollandica	
7596	1321	Urtica dioica	
7597	1322	Urtica urens	
7598	1325	Utricularia australis	
2793	1324	Utricularia minor	
7599	1327	Utricularia vulgaris	
7135	912	Vaccinium macrocarpon	
7602	1329	Vaccinium myrtillus	
2665	913	Vaccinium oxycoccos	
7603	1331	Vaccinium vitis-idaea	
2796	1332	Valeriana dioica	
7604	1333	Valeriana officinalis	
7605	1336	Valerianella locusta	
7607	1338	Verbascum blattaria	
7608	1342	Verbascum densiflorum	
7609	1339	Verbascum lychnitis	
7610	1340	Verbascum nigrum	
7611	1341	Verbascum phlomoides	
7613	1343	Verbascum thapsus	
7614	1344	Verbena officinalis	
7615	1345	Veronica agrestis	
7616	1346	Veronica anagallis-aquatica	
7617	1347	Veronica arvensis	
7619	1349	Veronica beccabunga	
7620	1350	Veronica catenata	
7621	1351	Veronica chamaedrys	
7622	1896	Veronica filiformis	
7623	1352	Veronica hederifolia	
7624	1353	Veronica longifolia	
7625	1354	Veronica montana	
7626	1355	Veronica officinalis	
2801	1356	Veronica opaca	
7627	1357	Veronica peregrina	
7628	1358	Veronica persica	
7629	1359	Veronica polita	
7630	1362	Veronica scutellata	
7631	1363	Veronica serpyllifolia	
7632	2109	Viburnum lantana	
7633	1367	Viburnum opulus	
7634	1369	Vicia cracca	
2807	1374	Vicia gracilis	
7638	1370	Vicia hirsuta	
7640	1371	Vicia lathyroides	
9291	5454	Vicia sativa nigra	
16729	1372	Vicia sativa sativa	
9119	5455	Vicia sativa segetalis	
7644	1373	Vicia sepium	
9116	1375	Vicia tetrasperma	
7646	2387	Vicia villosa 	
7647	1377	Vinca minor	
7649	1378	Viola arvensis	
2809	1380	Viola canina	
7650	1381	Viola curtisii	
7651	1382	Viola hirta	
7652	1384	Viola odorata	
7653	1385	Viola palustris	
2811	1389	Viola persicifolia	
7654	1386	Viola reichenbachiana	
7655	1387	Viola riviniana	
7656	1388	Viola rupestris	
7657	1390	Viola tricolor	
7659	1391	Viscum album	
7661	1392	Vulpia bromoides	
7662	2454	Vulpia ciliata ambigua	
9293	2453	Vulpia ciliata ciliata	
7665	1393	Vulpia myuros	
7666	1395	Wolffia arrhiza	
7668	2469	Xanthium strumarium	
20474	1964	Zannichellialla palustris	
