obs	floron	Latijnse naam	
6548	245	Carex otrubae	
6549	246	Carex ovalis	
2410	247	Carex pallescens	
6550	248	Carex panicea	
6551	249	Carex paniculata	
6552	251	Carex pilulifera	
6553	254	Carex pseudocyperus	
2413	255	Carex pulicaris	
6554	258	Carex remota	
6555	259	Carex riparia	
6556	260	Carex rostrata	
6557	262	Carex spicata	
6558	264	Carex sylvatica	
6559	266	Carex trinervis	
6560	267	Carex vesicaria	
2417	268	Carex vulpina	
2418	269	Carlina vulgaris	
6562	270	Carpinus betulus	
2419	271	Carum carvi	
6564	273	Castanea sativa	
6565	274	Catabrosa aquatica	
2424	279	Centaurea cyanus	
6567	1766	Centaurea jacea	
2425	284	Centaurea scabiosa	
6570	286	Centaurium erythraea	
6571	285	Centaurium littorale	
6572	287	Centaurium pulchellum	
2338	288	Centunculus minimus	
6574	292	Cerastium arvense	
6575	293	Cerastium diffusum	
6577	295	Cerastium glomeratum	
6578	298	Cerastium semidecandrum	
6579	2301	Cerastium tomentosum	
6580	362	Ceratocapnos claviculata	
6581	1759	Ceratochloa carinata	
6583	299	Ceratophyllum demersum	
6584	300	Ceratophyllum submersum	
6585	743	Chaenorhinum minus	
6586	302	Chaerophyllum bulbosum	
6587	303	Chaerophyllum temulum	
6589	450	Chamerion angustifolia	
6590	305	Chelidonium majus	
6591	306	Chenopodium album	
17148	309	Chenopodium chenopodioides	
6595	310	Chenopodium ficifolium	
6597	312	Chenopodium glaucum	
6598	313	Chenopodium hybridum	
6599	314	Chenopodium murale	
6600	315	Chenopodium polyspermum	
6602	316	Chenopodium rubrum	
	1621	Chionodoxa siehei	
6604	322	Chrysosplenium alternifolium	
6605	323	Chrysosplenium oppositifolium	
6608	325	Cichorium intybus	
6609	326	Cicuta virosa	
6610	329	Circaea lutetiana	
2440	332	Cirsium dissectum	
6613	335	Cirsium palustre	
6614	336	Cirsium vulgare	
2442	337	Cladium mariscus	
6616	338	Claytonia perfoliata	
6617	1679	Claytonia sibirica	
6618	339	Clematis vitalba	
2443	1141	Clinopodium acinos	
2445	1143	Clinopodium vulgare	
6623	342	Cochlearia danica	
196781	2433	Cochlearia officinalis + anglica	
18351	1728	Coincya monensis	
2449	345	Colchicum autumnale	
2695	346	Comarum palustre	
6628	347	Conium maculatum	
6632	349	Convallaria majalis	
6633	350	Convolvulus arvensis	
6511	188	Convolvulus sepium	
6513	189	Convolvulus soldanella	
6635	475	Conyza canadensis	
9256	5328	Conyza sumatrensis	
6637	353	Corispermum intermedium	
6639	355	Cornus sanguinea	
6640	5525	Cornus sericea	
6641	358	Coronopus didymus	
6642	359	Coronopus squamatus	
2456	360	Corrigiola litoralis	
6643	361	Corydalis cava	
7673	365	Corydalis solida	
6645	366	Corylus avellana	
6646	367	Corynephorus canescens	
6651	1760	Cotula coronopifolia	
6655	370	Crataegus laevigata	
6656	369	Crataegus monogyna	
6657	371	Crepis biennis	
6658	372	Crepis capillaris	
2459	373	Crepis paludosa	
6660	374	Crepis tectorum	
2461	548	Cruciata laevipes	
2464	379	Cuscuta epithymum	
6669	380	Cuscuta europaea	
6671	382	Cuscuta lupuliformis	
7678	741	Cymbalaria muralis	
6673	384	Cynodon dactylon	
6674	385	Cynoglossum officinale	
6676	388	Cyperus fuscus	
6678	1140	Cytisus scoparius	
6679	390	Dactylis glomerata	
8746	883	Dactylorhiza fuchsii	
2468	884	Dactylorhiza incarnata	
2469	885	Dactylorhiza maculata	
186845	890	Dactylorhiza praetermissa	
6680	1637	Dactylorhiza praetermissa+majalis	
6682	199	Danthonia decumbens	
6683	393	Datura stramonium	
6684	394	Daucus carota	
6687	400	Decurainia sophia	
6685	397	Deschampsia cespitosa	
6686	398	Deschampsia flexuosa	
2473	402	Dianthus armeria	
